0.627,1.798
0.627,1.795
0.627,1.796
0.627,1.793
0.627,1.794
0.627,1.796
0.627,1.791
0.627,1.799
0.627,1.799
0.627,1.798
0.627,1.797
0.627,1.799
0.495,1.703
0.495,1.698
0.495,1.693
0.495,1.699
0.495,1.696
0.495,1.699
0.495,1.704
0.495,1.696
0.495,1.701
0.495,1.696
0.495,1.703
0.495,1.702
0.353,1.618
0.353,1.638
0.353,1.628
0.353,1.63
0.353,1.626
0.353,1.628
0.353,1.627
0.353,1.624
0.353,1.627
0.353,1.626
0.353,1.63
0.353,1.631
0.17,1.796
0.17,1.797
0.17,1.798
0.17,1.798
0.17,1.798
0.17,1.798
0.17,1.801
0.17,1.793
0.17,1.805
0.17,1.799
